Time,CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ROOMX1::Des Sens Cool Load [W],CELLS:ROOMX1:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ROOMX1::Des Cool Mass Flow [kg/s],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Load [W],CELLS:ENTRANCE::Des Sens Cool Load [W],CELLS:ENTRANCE:WINTER DESIGN DAY IN FRIBOURG (O1-O1:31-12):Des Heat Mass Flow [kg/s],CELLS:ENTRANCE::Des Cool Mass Flow [kg/s],CELLS:ROOMX2::Des Heat Load [W],CELLS:ROOMX2::Des Sens Cool Load [W],CELLS:ROOMX2::Des Heat Mass Flow [kg/s],CELLS:ROOMX2::Des Cool Mass Flow [kg/s]
09:50:00,4.331318E+02,0.000000E+00,2.202426E-02,0.000000E+00,6.486287E+02,0.000000E+00,4.178214E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,4.331326E+02,0.000000E+00,2.202430E-02,0.000000E+00,6.486440E+02,0.000000E+00,4.178313E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:10:00,4.331334E+02,0.000000E+00,2.202434E-02,0.000000E+00,6.486592E+02,0.000000E+00,4.178411E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:20:00,4.331342E+02,0.000000E+00,2.202438E-02,0.000000E+00,6.486745E+02,0.000000E+00,4.178509E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:30:00,4.331350E+02,0.000000E+00,2.202442E-02,0.000000E+00,6.486896E+02,0.000000E+00,4.178607E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:40:00,4.331358E+02,0.000000E+00,2.202446E-02,0.000000E+00,6.487048E+02,0.000000E+00,4.178704E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:50:00,4.331366E+02,0.000000E+00,2.202450E-02,0.000000E+00,6.487199E+02,0.000000E+00,4.178802E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:00:00,4.331374E+02,0.000000E+00,2.202454E-02,0.000000E+00,6.487350E+02,0.000000E+00,4.178899E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:10:00,4.331382E+02,0.000000E+00,2.202458E-02,0.000000E+00,6.487500E+02,0.000000E+00,4.178996E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
11:20:00,4.331390E+02,0.000000E+00,2.202462E-02,0.000000E+00,6.487650E+02,0.000000E+00,4.179092E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
